stop_id,stop_code,platform_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,position,direction,wheelchair_boarding
821776,8735,,MAIN ST + COURT HOUSE,,42.23139,-72.03009,,http://bustracker.therta.com/bustime/eta/eta.jsp?route=33&id=8735&showAllBusses=on,0,,America/New_York,,,0
821777,8001,,MAIN ST + ENTERING SPENCER,,42.23149,-72.02796,,http://bustracker.therta.com/bustime/eta/eta.jsp?route=33&id=8001&showAllBusses=on,0,,America/New_York,,,0
821778,8060,,MAIN ST + SPENCER FAIR,,42.23284,-72.01378,,http://bustracker.therta.com/bustime/eta/eta.jsp?route=33&id=8060&showAllBusses=on,0,,America/New_York,,,0
821779,8065,,MAIN ST + SPENCER FAIR,,42.23296,-72.01362,,http://bustracker.therta.com/bustime/eta/eta.jsp?route=33&id=8065&showAllBusses=on,0,,America/New_York,,,0
821780,8700,,MAIN ST + ENTERING EAST BROOKFIELD,,42.23153,-72.02821,,http://bustracker.therta.com/bustime/eta/eta.jsp?route=33&id=8700&showAllBusses=on,0,,America/New_York,,,0
821781,8705,,MAIN ST + COURT HOUSE,,42.23145,-72.03047,,http://bustracker.therta.com/bustime/eta/eta.jsp?route=33&id=8705&showAllBusses=on,0,,America/New_York,,,0
821782,8710,,MAIN ST + EAST BROOKFIELD CENTER,,42.22626,-72.05024,,http://bustracker.therta.com/bustime/eta/eta.jsp?route=33&id=8710&showAllBusses=on,0,,America/New_York,,,0
821783,8715,,MAIN ST + ROUTE 67,,42.22499,-72.05759,,http://bustracker.therta.com/bustime/eta/eta.jsp?route=33&id=8715&showAllBusses=on,0,,America/New_York,,,0
821784,8500,,SOUTH MAPLE ST + ENTERING BROOKFIELD,,42.21453,-72.07887,,http://bustracker.therta.com/bustime/eta/eta.jsp?route=33&id=8500&showAllBusses=on,0,,America/New_York,,,0
821785,1235,,LINCOLN PARK TOWERS,,42.27294,-71.75824,,http://bustracker.therta.com/bustime/eta/eta.jsp?route=16&id=1235&showAllBusses=on,0,,America/New_York,,,0
